Location,Series,Court,Surface,Round,Best of,Fecha,playerA,playerB,rankA,rankB,PtsA,PtsB,B365A,B365B,MaxA,MaxB,AvgA,AvgB,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,setsA,setsB,target,setsPartido,B365BookmakersMargin,B365ProbA,B365ProbB,ProbAvgA,ProbAvgB,ProbMaxA,ProbMaxB,market_uncertainty,OddsDiffB365,OddsDiffAvg,OddsDiffMax,AvgOddsDiff,logit_oddsA,logit_oddsB,rankDiff,ptsDiff,winrate_5_A,winrate_10_A,wins_before_A,win_pct_before_A,sets_5d_A,sets_30d_A,partidos_365d_A,dias_ultimo_partido_A,racha_victorias_A,winrate_5_B,winrate_10_B,wins_before_B,win_pct_before_B,sets_5d_B,sets_30d_B,partidos_365d_B,dias_ultimo_partido_B,racha_victorias_B,diff_winrate_5,diff_winrate_10,diff_win_pct_before,diff_sets_5d,diff_sets_30d,diff_dias_ultimo_partido,diff_partidos_365d,h2h_matches_previous,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_gusts_10m_mean,wind_speed_10m_mean,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,soil_temperature_0_to_100cm_mean,soil_moisture_0_to_100cm_mean,wind_gusts_10m_min,wind_speed_10m_min,elo_A,elo_B,elo_diff,elo_surf_A,elo_surf_B,elo_surf_diff,elo_surf_adv_A,elo_surf_adv_B,elo_surf_adv_diff,prob_consensus_A,bookmaker_std_A,prob_ratio_B365,b365_vs_market,rankRatio,log_rankDiff,rank_sum,ptsRatio,momentum_A,momentum_B,diff_momentum,sets_per_day_30d_A,sets_per_day_30d_B,diff_sets_per_day,series_level_oe,round_encoded,is_best_of_5,surface_fe,is_outdoor,bo5_rank_diff,bo5_momentum_diff
Doha,ATP250,Outdoor,Hard,1st Round,3.0,2015-01-06,Djokovic N.,Lajovic D.,1.0,68.0,11360.0,711.0,1.03,15.0,1.05,24.0,1.03,12.06,6.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,2.0,0.0375404530744336,0.9357454772301934,0.0642545227698066,0.9213139801375096,0.0786860198624904,0.9580838323353292,0.0419161676646706,0.4213139801375095,-13.97,-11.03,-22.95,0.8426279602750191,2.460335389057495,-2.460335389057496,-67.0,10649.0,,,0.0,,0.0,0.0,0,,0,,,0.0,,0.0,0.0,0,,0,,,,0.0,0.0,,0,0,18.822414,19.147408,0.0,0.0,14.658676,19.08,16.56,10.130092,81.07218,99.35669,54.535652,25.920294,0.007833749,9.0,5.3517847,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.9383810965676774,0.01852607283348158,14.563106796116507,0.014431497092683765,0.014705882352941176,-3.5409593240373143,69.0,0.9410985005384807,,,,,,,0.0,1,0,0.6086171471265799,1.0,-0.0,
Doha,ATP250,Outdoor,Hard,1st Round,3.0,2015-01-06,Stakhovsky S.,Ali Mutawa J.M.,57.0,1000.0,781.0,1.0,1.0,101.0,1.01,101.0,1.01,24.01,6.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,2.0,0.0099009900990099,0.9901960784313726,0.0098039215686274,0.9596322941646682,0.0403677058353317,0.9900019603999216,0.0099980396000784,0.4596322941646682,-100.0,-23.0,-99.98,0.9192645883293364,3.168520079379993,-3.1685200793799937,-943.0,780.0,,,0.0,,0.0,0.0,0,,0,,,0.0,,0.0,0.0,0,,0,,,,0.0,0.0,,0,0,18.822414,19.147408,0.0,0.0,14.658676,19.08,16.56,10.130092,81.07218,99.35669,54.535652,25.920294,0.007833749,9.0,5.3517847,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.9799434443319875,0.01759023980200606,101.00000000000053,0.030563784266704364,0.057,-2.8483117687688013,1057.0,0.9987212276214834,,,,,,,0.0,1,0,0.6086171471265799,1.0,-0.0,
Doha,ATP250,Outdoor,Hard,1st Round,3.0,2015-01-06,Kavcic B.,Monaco J.,99.0,61.0,545.0,770.0,1.72,2.0,1.93,2.05,1.8,1.96,7.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,2.0,0.0813953488372094,0.5376344086021505,0.4623655913978494,0.5212765957446808,0.4787234042553191,0.5150753768844222,0.4849246231155779,0.0212765957446807,-0.28,-0.1599999999999999,-0.1199999999999998,0.0425531914893616,0.0851578083403065,-0.0851578083403069,38.0,-225.0,,,0.0,,0.0,0.0,0,,0,,,0.0,,0.0,0.0,0,,0,,,,0.0,0.0,,0,0,18.822414,19.147408,0.0,0.0,14.658676,19.08,16.56,10.130092,81.07218,99.35669,54.535652,25.920294,0.007833749,9.0,5.3517847,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.5246621270770845,0.011654348751105041,1.1627906976744187,0.016357812857469733,1.6229508196721312,0.47803580094300013,160.0,0.4144486692015209,,,,,,,0.0,1,0,0.6086171471265799,1.0,0.0,
Doha,ATP250,Outdoor,Hard,1st Round,3.0,2015-01-06,Seppi A.,Mayer L.,45.0,28.0,870.0,1299.0,1.83,1.83,2.13,1.96,1.95,1.81,5.0,7.0,7.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1,3.0,0.0928961748633878,0.5,0.5,0.4813829787234043,0.5186170212765957,0.4792176039119804,0.5207823960880196,0.0186170212765957,0.0,0.1399999999999999,0.1699999999999999,-0.0372340425531914,-0.0745025272979209,0.0745025272979208,17.0,-429.0,,,0.0,,0.0,0.0,0,,0,,,0.0,,0.0,0.0,0,,0,,,,0.0,0.0,,0,0,18.822414,19.147408,0.0,0.0,14.658676,19.08,16.56,10.130092,81.07218,99.35669,54.535652,25.920294,0.007833749,9.0,5.3517847,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.4868668608784616,0.011425047895205934,1.0,0.018617021276595702,1.6071428571428572,0.46134556650262093,73.0,0.40110650069156295,,,,,,,0.0,1,0,0.6086171471265799,1.0,0.0,
Doha,ATP250,Outdoor,Hard,1st Round,3.0,2015-01-06,Istomin D.,Berdych T.,48.0,7.0,850.0,4600.0,4.33,1.2,5.5,1.24,4.59,1.18,1.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,2.0,0.0642802155504234,0.2169981916817359,0.783001808318264,0.2045060658578856,0.7954939341421144,0.1839762611275964,0.8160237388724036,0.2954939341421143,3.13,3.41,4.26,-0.5909878682842288,-1.3583655855948802,1.3583655855948809,41.0,-3750.0,,,0.0,,0.0,0.0,0,,0,,,0.0,,0.0,0.0,0,,0,,,,0.0,0.0,,0,0,18.822414,19.147408,0.0,0.0,14.658676,19.08,16.56,10.130092,81.07218,99.35669,54.535652,25.920294,0.007833749,9.0,5.3517847,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.2018268395557393,0.01667320198894583,0.27713625866050795,0.012492125823850286,6.857142857142857,1.8123787564307907,55.0,0.1559633027522936,,,,,,,0.0,1,0,0.6086171471265799,1.0,0.0,
Doha,ATP250,Outdoor,Hard,1st Round,3.0,2015-01-06,Youzhny M.,Basilashvili N.,47.0,171.0,850.0,293.0,1.28,3.5,1.37,3.5,1.33,3.23,5.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,2.0,0.0669642857142855,0.7322175732217574,0.2677824267782427,0.7083333333333333,0.2916666666666667,0.7186858316221767,0.2813141683778234,0.2083333333333332,-2.22,-1.9,-2.13,0.4166666666666666,0.8873031950009024,-0.8873031950009026,-124.0,557.0,,,0.0,,0.0,0.0,0,,0,,,0.0,,0.0,0.0,0,,0,,,,0.0,0.0,,0,0,18.822414,19.147408,0.0,0.0,14.658676,19.08,16.56,10.130092,81.07218,99.35669,54.535652,25.920294,0.007833749,9.0,5.3517847,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.7197455793924225,0.01197733391721018,2.734375,0.02388423988842414,0.27485380116959063,-1.2762934659055616,218.0,0.7436570428696413,,,,,,,0.0,1,0,0.6086171471265799,1.0,-0.0,
Doha,ATP250,Outdoor,Hard,2nd Round,3.0,2015-01-07,Kavcic B.,Berdych T.,99.0,7.0,545.0,4600.0,6.5,1.11,8.0,1.14,6.32,1.11,1.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,2.0,0.0547470547470547,0.1458607095926412,0.8541392904073586,0.1493943472409152,0.8506056527590848,0.12472647702407,0.87527352297593,0.3506056527590848,5.39,5.21,6.86,-0.7012113055181697,-1.7393591928345231,1.7393591928345238,92.0,-4055.0,1.0,1.0,1.0,1.0,2.0,2.0,1,1.0,1,1.0,1.0,1.0,1.0,2.0,2.0,1,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.39325,20.060976,0.0,0.0,13.53236,19.8,13.035001,7.4841604,78.99641,99.67701,42.459827,25.862228,0.007854168,5.04,2.2768397,1522.5,1522.5,0.0,1522.5,1522.5,0.0,0.0,0.0,0.0,0.1399938446192088,0.013339454026351507,0.17076923076923073,-0.003533637648273996,14.142857142857142,2.525728644308256,106.0,0.10592808551992225,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0.6086171471265799,1.0,0.0,0.0
Doha,ATP250,Outdoor,Hard,2nd Round,3.0,2015-01-07,Bolelli S.,Gasquet R.,52.0,26.0,810.0,1350.0,3.75,1.25,4.2,1.33,3.66,1.27,3.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,2.0,0.0666666666666666,0.25,0.75,0.257606490872211,0.7423935091277891,0.240506329113924,0.7594936708860759,0.242393509127789,2.5,2.39,2.87,-0.4847870182555781,-1.058446246942775,1.0584462469427751,26.0,-540.0,1.0,1.0,1.0,1.0,2.0,2.0,1,2.0,1,1.0,1.0,1.0,1.0,2.0,2.0,1,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.39325,20.060976,0.0,0.0,13.53236,19.8,13.035001,7.4841604,78.99641,99.67701,42.459827,25.862228,0.007854168,5.04,2.2768397,1522.5,1522.5,0.0,1522.5,1522.5,0.0,0.0,0.0,0.0,0.24937093999537832,0.008567419121704983,0.3333333333333333,-0.007606490872210991,2.0,0.6744550475477928,78.0,0.375,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,2,0,0.6086171471265799,1.0,0.0,0.0
Doha,ATP250,Outdoor,Hard,2nd Round,3.0,2015-01-07,Dodig I.,Berrer M.,89.0,127.0,575.0,427.0,1.36,3.0,1.44,3.14,1.39,2.88,7.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,2.0,0.0686274509803921,0.6880733944954128,0.3119266055045871,0.674473067915691,0.3255269320843091,0.6855895196506551,0.314410480349345,0.1744730679156909,-1.64,-1.49,-1.7000000000000002,0.3489461358313818,0.7284865470052546,-0.7284865470052544,-38.0,148.0,1.0,1.0,1.0,1.0,2.0,2.0,1,2.0,1,1.0,1.0,1.0,1.0,3.0,3.0,1,1.0,1,0.0,0.0,0.0,-1.0,-1.0,1.0,0,0,19.39325,20.060976,0.0,0.0,13.53236,19.8,13.035001,7.4841604,78.99641,99.67701,42.459827,25.862228,0.007854168,5.04,2.2768397,1522.5,1522.5,0.0,1522.5,1522.5,0.0,0.0,0.0,0.0,0.6827119940205862,0.00724239850343444,2.2058823529411766,0.013600326579721878,0.7007874015748031,-0.35222059358935187,216.0,0.5738522954091816,0.0,0.0,0.0,0.6666666666666666,1.5,-0.8333333333333334,0.0,2,0,0.6086171471265799,1.0,-0.0,0.0
Doha,ATP250,Outdoor,Hard,2nd Round,3.0,2015-01-07,Basilashvili N.,Karlovic I.,171.0,27.0,293.0,1320.0,3.5,1.28,3.64,1.36,3.3,1.31,6.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,2.0,0.0669642857142855,0.2677824267782427,0.7322175732217574,0.2841648590021692,0.7158351409978309,0.2719999999999999,0.728,0.2158351409978307,2.22,1.99,2.28,-0.4316702819956616,-0.923895331259374,0.9238953312593744,144.0,-1027.0,1.0,1.0,1.0,1.0,2.0,2.0,1,1.0,1,1.0,1.0,1.0,1.0,2.0,2.0,1,2.0,1,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,19.39325,20.060976,0.0,0.0,13.53236,19.8,13.035001,7.4841604,78.99641,99.67701,42.459827,25.862228,0.007854168,5.04,2.2768397,1522.5,1522.5,0.0,1522.5,1522.5,0.0,0.0,0.0,0.0,0.2746490952601373,0.008506427021132195,0.3657142857142857,-0.01638243222392649,6.333333333333333,1.815289966638249,198.0,0.18164910105393675,0.0,0.0,0.0,1.0,0.6666666666666666,0.33333333333333337,0.0,2,0,0.6086171471265799,1.0,0.0,0.0
